id,createAt,payload,RIGHT,LEFT,temperature,ON/OFF
message_27c33530-f5c4-429d-9ba7-be4b7d7ed5f5,2023-02-10 12:26:17:705,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.2}}",21.2}},21.2,44978,OFF
message_8431159e-c596-4084-81d9-f4940606d3b3,2023-02-10 12:27:17:692,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.2}}",21.2}},21.2,44978,OFF
message_97dcf666-b560-44e1-a8f0-9926a8b298fe,2023-02-10 12:28:17:675,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.1}}",21.1}},21.1,44947,OFF
message_26911b2b-1f3b-4505-8436-9163bc1fd606,2023-02-10 12:29:17:680,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.1}}",21.1}},21.1,44947,OFF
message_9336a48f-09df-46f4-9ac6-864948615d0d,2023-02-10 12:30:17:682,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.1}}",21.1}},21.1,44947,OFF
message_832024a5-d9c8-4ea7-b0d8-5112779f87d1,2023-02-10 12:31:17:678,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.1}}",21.1}},21.1,44947,OFF
message_91468416-5e25-45dc-a137-8fe32d45693b,2023-02-10 12:32:17:687,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.1}}",21.1}},21.1,44947,OFF
message_616d2fc5-8a8f-4e27-b6d3-c5d5dd06edfc,2023-02-10 12:33:17:680,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_ecc0e373-58f6-42ff-8fd8-9d948f1e838f,2023-02-10 12:34:17:683,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_62d0113f-5656-4b2b-b59a-902572da0030,2023-02-10 12:35:17:686,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_f1e6dcd9-adc3-42fa-96b8-2b37b5fa6ecc,2023-02-10 12:36:17:479,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_c032da6c-a6da-470f-be68-72e1802422eb,2023-02-10 12:37:17:655,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_c6b57451-fe94-48a9-bee2-d81dd0ca3fa5,2023-02-10 12:38:17:661,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.9}}",20.9}},20.9,45189,OFF
message_367a4dc3-98ce-4289-86e9-6b1e02484365,2023-02-10 12:39:17:679,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.9}}",20.9}},20.9,45189,OFF
message_c304791a-90e4-4926-8ea5-a4300a601ccb,2023-02-10 12:40:17:652,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.9}}",20.9}},20.9,45189,OFF
message_286b1618-3174-40cd-a12c-2f8844892148,2023-02-10 12:41:17:652,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.8}}",20.8}},20.8,45158,OFF
message_57729057-7f32-4b29-92a3-ec6c73b2bc3e,2023-02-10 12:42:17:655,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.8}}",20.8}},20.8,45158,OFF
message_cfedcc11-875e-41c1-9321-4f27d33e10f0,2023-02-10 12:43:17:661,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.8}}",20.8}},20.8,45158,OFF
